Indirizzo;Insegna;PlayerID;Nome;Consorzio
VIA ILARIA ALPI 5 33082;CONAD SELF 24H;DS_26155;Azzano Decimo;CIA
Statale 251 della Val di Zoldo e Val Cellina, Km. 15, dir. pordenone - 33082;ENI;DS_26155;Azzano Decimo;CIA
VIA DANTE ALIGHIERI 48 33080;ESSO;DS_26155;Azzano Decimo;CIA
Via Pezzut 15 33082;ESSO;DS_26155;Azzano Decimo;CIA
Via Nuova di Corva 76 33170;SAN MARCO PETROLI;DS_26155;Azzano Decimo;CIA
via San Vito 34/A 33080;Q8;DS_26155;Azzano Decimo;CIA
Via Assano 29;CONAD SELF 24H;DS_05693;Cesena;CIA
SS. 71/BIS KM 4,06 47023;TAMOIL;DS_05693;Cesena;CIA
VIA EMILIA LEVANTE 214 47521;ENERGIA FLUIDA;DS_05693;Cesena;CIA
VIA CESENATICO 47521;TAMOIL;DS_05693;Cesena;CIA
VIALE GUGLIELMO MARCONI 420 47023;ENI;DS_05693;Cesena;CIA
VIALE MATTEOTTI 210 47522;EGO;DS_05693;Cesena;CIA
VIA ALCIDE DE GASPERI 35 47521;EGO;DS_05693;Cesena;CIA
VIA TORINO 1904 47522;ENERCOOP;DS_05693;Cesena;CIA
OBERDAN 716 47023;ENI;DS_05693;Cesena;CIA
VIA UGO LA MALFA 3101 47522, CESENA (FC) 3101 47521;ACTON1Q;DS_05693;Cesena;CIA
VIA TORINO FR. PIEVESESTINA 1689 47522, CESENA (FC) 1689 47522;ACTON1Q;DS_05693;Cesena;CIA
VIA ZUCCHERIFICIO 178 47522, CESENA (FC) 178 47521;ACTON1Q;DS_05693;Cesena;CIA
MADONNA DELLO SCHIOPPO 367 47521;ZANNONI;DS_05693;Cesena;CIA
Via della Costituzione 28;CONAD SELF 24H;DS_13364;Faenza;CIA
VIA PIERO DELLA FRANCESCA 5 48018;SIRON;DS_13364;Faenza;CIA
GRANAROLO 2/2 48018;TAMOIL;DS_13364;Faenza;CIA
PROVINCIALE S.SILVESTRO 40/1 48018;EUROPAM;DS_13364;Faenza;CIA
Via Antonio Laghi 42 48018;POMPE BIANCHE;DS_13364;Faenza;CIA
Via Pana 1/A 48018;Q8;DS_13364;Faenza;CIA
SS302 KM 101+790 VIA RAVEGNANA 148 48018;SHELL;DS_13364;Faenza;CIA
GRANAROLO FRAZ. S.ANDREA 1 48018;SHELL;DS_13364;Faenza;CIA
Via Biasura 1;ENERCOOP;DS_13364;Faenza;CIA
VIA EMILIA PONENTE 26 48018;ENI;DS_13364;Faenza;CIA
FORNARINA 41 48018;Q8;DS_13364;Faenza;CIA
VIA FORLIVESE 316 48018;ENERGAS;DS_13364;Faenza;CIA
Via Cotonificio 22 - Loc. Torreano;CONAD SELF 24H;DS_27918;Martignacco;CIA
VIA MARTIGNACCO 293 33100;ESSO;DS_27918;Martignacco;CIA
Via Martignacco 248 33100;API-IP;DS_27918;Martignacco;CIA
Via Pier Paolo Pasolini 203 33040;VEGA;DS_27918;Martignacco;CIA
via spilimbergo 152 33035;API-IP;DS_27918;Martignacco;CIA
Loc. Torreano - Via Cividina 33035;API-IP;DS_27918;Martignacco;CIA
LEONARDO DA VINCI 147 33100;ENI;DS_27918;Martignacco;CIA
Via Marconi 90 33010;POMPE BIANCHE;DS_27918;Martignacco;CIA
VENEZIA - EX S.S. 13 33010;API-IP;DS_27918;Martignacco;CIA
VIA SPILIMBERGO 188 33035;Q8;DS_27918;Martignacco;CIA
M. BUONARROTI 10 33010;ITALIANA CARBURANTI;DS_27918;Martignacco;CIA
Via Nazionale 127;Q8;DS_27918;Martignacco;CIA
VIA MILANO 25 33010;ESSO;DS_27918;Martignacco;CIA
VIA LOC. FELETTO UMBERTO - VIA IV NOVEMBRE 39 33010, TAVAGNACCO (UD);SAN MARCO PETROLI;DS_27918;Martignacco;CIA
VIA PASCATS 33010;Q8;DS_27918;Martignacco;CIA
VIA NAZIONALE 44 33010;ESSO;DS_27918;Martignacco;CIA
VIA NAZIONALE 10 33010;Q8;DS_27918;Martignacco;CIA
strada provinciale nÂ°4 del Bidente km79+800 47014;CONAD SELF 24H;DS_33075;Meldola;CIA
VIA DECIO RAGGI 404 47100;GEP CARBURANTI;DS_33075;Meldola;CIA
VIA GIORDANO BRUNO 59 47014;ReteItalia-IP;DS_33075;Meldola;CIA
Via Mazzini 37 47014;ReteItalia-Total;DS_33075;Meldola;CIA
VIA I MAGGIO 28/B 47014;EGO;DS_33075;Meldola;CIA
VIA BIDENTE 210/P 47121, FORLI' (FC) 210/P 47121;ZANNONI;DS_33075;Meldola;CIA
Via Roma 182 47014;RETITALIA;DS_33075;Meldola;CIA
RAVEGNANA 357 47122;BONDI Carburanti;DS_33075;Meldola;CIA
67 Tosco Romagnola, Km. 197.10, ravenna - 47100;ROBGAS;DS_33075;Meldola;CIA
Vie Cervese Località  Pievequinta S.P. Bagnolo 259 47122;Easy Service;DS_33075;Meldola;CIA
Via Andrea Costa 102 47012;ReteItalia;DS_33075;Meldola;CIA
via Lazio 58 33080;CONAD SELF 24H;DS_12415;Porcia;CIA
VIALE VENEZIA 13 33170, PORDENONE (PN) 13 33170;GNP;DS_12415;Porcia;CIA
VIA XX SETTEMBRE 287/A 33080;TERMOVENETA SRL;DS_12415;Porcia;CIA
VIA CORSO LINO ZANUSSI 29 33080, PORCIA (PN) 29 33080;COSTANTIN;DS_12415;Porcia;CIA
LINO ZANUSSI SS 13 62 33080;TAMOIL;DS_12415;Porcia;CIA
VIA PRA 19 33170;AF;DS_12415;Porcia;CIA
MUSILE 18 33170;DV;DS_12415;Porcia;CIA
TREVISO 62 33170;IP;DS_12415;Porcia;CIA
Via Nuova di Corva 76;SMP;DS_12415;Porcia;CIA
Via Prati Guori 29;CONAD SELF 24H;DS_28868;Portogruaro;CIA
VIALE KENNEDY 12 30025;VEGA;DS_28868;Portogruaro;CIA
VIALE CADORNA 66 30026;VEGA;DS_28868;Portogruaro;CIA
MAJORANA 4 30026;POMPE BIANCHE;DS_28868;Portogruaro;CIA
ODORICO DA PORDENONE 10 30026;BEYFIN;DS_28868;Portogruaro;CIA
VIA DE GASPERI 33 30020;API-IP;DS_28868;Portogruaro;CIA
TRIESTE 193 30026;EUROPAM;DS_28868;Portogruaro;CIA
VIALE VENEZIA 40 30026;BEYFIN;DS_28868;Portogruaro;CIA
